fieldmap_name:      	LDE05
timestamp:          	2026-01-19_12-14-28
filename:           	2026-01-19_LDE05_Fieldmap_X=-130_130mm_Z=-350_350mm_Imc=12.5A_ID=5479.dat
nr_magnets:         	1
magnet_name:        	LDE05
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
current_main[A]:    	12.5
nr_turns_main:      	 
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
-35.000	0.000	-348.000	9.9480690577e-06	5.1137878782e-04	-3.9727618423e-05
-30.000	0.000	-348.000	6.8686900074e-06	5.1868738333e-04	-4.0074360987e-05
-25.000	0.000	-348.000	9.1895976370e-06	5.2446076547e-04	-3.8007241856e-05
-20.000	0.000	-348.000	1.0567077199e-05	5.2963505806e-04	-3.4955462748e-05
-15.000	0.000	-348.000	1.1943065176e-05	5.3272107446e-04	-3.4140469541e-05
-10.000	0.000	-348.000	8.3848870543e-06	5.3605578353e-04	-3.3678887024e-05
-5.000	0.000	-348.000	8.6190660375e-06	5.3750562477e-04	-3.2806844292e-05
0.000	0.000	-348.000	1.3483127601e-05	5.3833187838e-04	-2.8611111072e-05
5.000	0.000	-348.000	9.4871690203e-06	5.3796440710e-04	-2.9090475260e-05
10.000	0.000	-348.000	1.2835779327e-05	5.3557695732e-04	-2.5145167220e-05
15.000	0.000	-348.000	1.4467574285e-05	5.3306330529e-04	-2.2537929847e-05
20.000	0.000	-348.000	1.4210275720e-05	5.2853041712e-04	-2.1173927572e-05
25.000	0.000	-348.000	1.3183318838e-05	5.2361521034e-04	-1.9825484257e-05
30.000	0.000	-348.000	8.3647506449e-06	5.1779505912e-04	-2.1027228794e-05
35.000	0.000	-348.000	1.2552378009e-05	5.1009226715e-04	-1.7280482723e-05
40.000	0.000	-348.000	9.9935624271e-06	5.0228628625e-04	-1.8494081708e-05
45.000	0.000	-348.000	1.0452225086e-05	4.9279364927e-04	-1.5642346363e-05
50.000	0.000	-348.000	1.2085511628e-05	4.8294467648e-04	-1.2807651781e-05
55.000	0.000	-348.000	1.2729130937e-05	4.7160651700e-04	-1.0490107437e-05
60.000	0.000	-348.000	1.2807439195e-05	4.6032329260e-04	-8.4644788427e-06
65.000	0.000	-348.000	1.5144008485e-05	4.4717078998e-04	-6.3573509248e-06
70.000	0.000	-348.000	1.5592230044e-05	4.3468938641e-04	-4.5821475156e-06
75.000	0.000	-348.000	7.8337460715e-06	4.2191845997e-04	-8.1332952355e-06
80.000	0.000	-348.000	7.7069612717e-06	4.0712681258e-04	-5.0237256592e-06
85.000	0.000	-348.000	8.5422493647e-06	3.9232996858e-04	-3.0388467209e-06
90.000	0.000	-348.000	7.4981392485e-06	3.7693403497e-04	-1.8326567567e-06
95.000	0.000	-348.000	4.9236620220e-06	3.6055001184e-04	-1.9356422635e-06
100.000	0.000	-348.000	7.9635140431e-06	3.4530626321e-04	1.6473642921e-06
105.000	0.000	-348.000	6.8567573204e-06	3.2842856641e-04	3.0498935347e-06
110.000	0.000	-348.000	9.7429759990e-06	3.1235039800e-04	6.4469334630e-06
115.000	0.000	-348.000	6.7322098995e-06	2.9535837667e-04	5.4326373530e-06
120.000	0.000	-348.000	8.4900438589e-06	2.7979837981e-04	7.8879896609e-06
125.000	0.000	-348.000	3.5282834340e-06	2.6286426294e-04	7.1885772953e-06
130.000	0.000	-348.000	8.7853778632e-06	2.4632582723e-04	1.0431509420e-05
-130.000	0.000	-347.000	-9.4067492391e-06	2.4609717842e-04	-5.7508547388e-05
-125.000	0.000	-347.000	-6.6629770373e-06	2.6396667684e-04	-5.6583900558e-05
-120.000	0.000	-347.000	-4.1026698933e-06	2.8172036607e-04	-5.5718525961e-05
-115.000	0.000	-347.000	-6.6957919264e-06	2.9998554558e-04	-5.8084969850e-05
-110.000	0.000	-347.000	-7.4221942439e-06	3.1723813745e-04	-5.7777495143e-05
-105.000	0.000	-347.000	-7.3541478859e-07	3.3422941633e-04	-5.2768250576e-05
-100.000	0.000	-347.000	-2.9832346975e-06	3.5230380751e-04	-5.4730902383e-05
-95.000	0.000	-347.000	3.0442638172e-06	3.6756908474e-04	-5.1610219327e-05
-90.000	0.000	-347.000	-9.6661059886e-07	3.8584242995e-04	-5.3307627894e-05
-85.000	0.000	-347.000	2.3618632790e-06	4.0204680037e-04	-5.0721135835e-05
-80.000	0.000	-347.000	2.2216542068e-06	4.1803959635e-04	-5.0920438718e-05
-75.000	0.000	-347.000	1.6294946144e-06	4.3258255102e-04	-5.0587773311e-05
-70.000	0.000	-347.000	4.4985600469e-06	4.4733188345e-04	-4.8560662947e-05
-65.000	0.000	-347.000	1.9196080670e-06	4.6105749280e-04	-5.0481083292e-05
-60.000	0.000	-347.000	6.3637881874e-06	4.7343199557e-04	-4.5625946514e-05
-55.000	0.000	-347.000	5.2973042843e-06	4.8533880758e-04	-4.7522657968e-05
-50.000	0.000	-347.000	8.3185114826e-06	4.9637927816e-04	-4.3175780582e-05
-45.000	0.000	-347.000	7.5660064061e-06	5.0722970297e-04	-4.2777174815e-05
-40.000	0.000	-347.000	1.0465649359e-05	5.1684779982e-04	-4.1047166512e-05
-35.000	0.000	-347.000	9.5296792179e-06	5.2454762232e-04	-4.0186237327e-05
-30.000	0.000	-347.000	6.6777670149e-06	5.3310487779e-04	-4.0334417909e-05
-25.000	0.000	-347.000	8.7644956609e-06	5.3873052904e-04	-3.8216917380e-05
-20.000	0.000	-347.000	1.0668505039e-05	5.4355516712e-04	-3.5640057042e-05
-15.000	0.000	-347.000	1.1651460136e-05	5.4726254404e-04	-3.3572197004e-05
-10.000	0.000	-347.000	8.2245415721e-06	5.5077690573e-04	-3.4408676396e-05
-5.000	0.000	-347.000	9.1448500606e-06	5.5248286331e-04	-3.3243977012e-05
0.000	0.000	-347.000	1.3201963662e-05	5.5292382885e-04	-2.8565915994e-05
5.000	0.000	-347.000	9.3596384275e-06	5.5254225261e-04	-2.9382391010e-05
10.000	0.000	-347.000	1.2861882080e-05	5.4988829337e-04	-2.5927560703e-05
15.000	0.000	-347.000	1.4316178318e-05	5.4709848110e-04	-2.3079529882e-05
20.000	0.000	-347.000	1.4108847880e-05	5.4277048603e-04	-2.1663664402e-05
25.000	0.000	-347.000	1.2820863468e-05	5.3788348918e-04	-2.0709381441e-05
30.000	0.000	-347.000	9.0165736748e-06	5.3207967004e-04	-2.1237645223e-05
35.000	0.000	-347.000	1.2399490456e-05	5.2348232678e-04	-1.7038207467e-05
40.000	0.000	-347.000	8.9859961642e-06	5.1552564557e-04	-1.8206611374e-05
45.000	0.000	-347.000	1.0729660060e-05	5.0631956198e-04	-1.6038729426e-05
50.000	0.000	-347.000	1.2937952960e-05	4.9595984124e-04	-1.3081044960e-05
55.000	0.000	-347.000	1.2658280607e-05	4.8415918763e-04	-1.0898344948e-05
60.000	0.000	-347.000	1.2477798715e-05	4.7264954156e-04	-9.0423831237e-06
65.000	0.000	-347.000	1.5655622444e-05	4.5894694560e-04	-5.9743041125e-06
70.000	0.000	-347.000	1.5426664010e-05	4.4663925575e-04	-4.8110865196e-06
75.000	0.000	-347.000	8.1216221464e-06	4.3367531412e-04	-7.7509893264e-06
80.000	0.000	-347.000	7.6912996200e-06	4.1721705456e-04	-5.7831511578e-06
85.000	0.000	-347.000	8.3095619673e-06	4.0273348915e-04	-3.3033490655e-06
90.000	0.000	-347.000	7.3534554182e-06	3.8727519681e-04	-1.4207147295e-06
95.000	0.000	-347.000	5.2495735362e-06	3.7058309171e-04	-1.0732312569e-06
100.000	0.000	-347.000	7.5488531685e-06	3.5454055703e-04	1.8207355772e-06
105.000	0.000	-347.000	7.5160382791e-06	3.3650848073e-04	2.5194070382e-06
110.000	0.000	-347.000	9.2716348605e-06	3.2085420349e-04	5.7586346417e-06
115.000	0.000	-347.000	5.8618695392e-06	3.0380205052e-04	5.8090160409e-06
120.000	0.000	-347.000	8.8547366067e-06	2.8744920652e-04	8.0161658678e-06
125.000	0.000	-347.000	4.1420710223e-06	2.6969180549e-04	7.0796645647e-06
130.000	0.000	-347.000	8.4214309084e-06	2.5293437175e-04	1.0610067027e-05
-130.000	0.000	-346.000	-9.7490681952e-06	2.5342878768e-04	-5.7690809503e-05
-125.000	0.000	-346.000	-6.0081708412e-06	2.7134060096e-04	-5.7649318940e-05
-120.000	0.000	-346.000	-4.0899914134e-06	2.9013063346e-04	-5.6279389462e-05
-115.000	0.000	-346.000	-6.7107077851e-06	3.0821912977e-04	-5.7640428105e-05
-110.000	0.000	-346.000	-7.2954094452e-06	3.2633657829e-04	-5.8048665608e-05
-105.000	0.000	-346.000	-2.0813918246e-07	3.4409991805e-04	-5.4053717124e-05
-100.000	0.000	-346.000	-2.3366322223e-06	3.6126788000e-04	-5.5468100777e-05
-95.000	0.000	-346.000	2.8622903403e-06	3.7861400980e-04	-5.1987338909e-05
-90.000	0.000	-346.000	-7.0782044994e-07	3.9707517363e-04	-5.3543975922e-05
-85.000	0.000	-346.000	2.3939323754e-06	4.1269901360e-04	-5.1103441737e-05
-80.000	0.000	-346.000	1.9352697187e-06	4.2927233995e-04	-5.1959925501e-05
-75.000	0.000	-346.000	1.9166248953e-06	4.4473805582e-04	-5.2109587889e-05
-70.000	0.000	-346.000	4.3792331767e-06	4.5979992440e-04	-4.9031136296e-05
-65.000	0.000	-346.000	2.0366975582e-06	4.7331767117e-04	-5.0800412446e-05
-60.000	0.000	-346.000	6.6844791513e-06	4.8653847141e-04	-4.5674846106e-05
-55.000	0.000	-346.000	4.2815343018e-06	4.9862270891e-04	-4.7725665366e-05
-50.000	0.000	-346.000	8.3751917461e-06	5.1068022120e-04	-4.3486959806e-05
-45.000	0.000	-346.000	7.8054059398e-06	5.2116688652e-04	-4.3252834485e-05
-40.000	0.000	-346.000	1.0359000968e-05	5.3084363027e-04	-4.1178306328e-05
-35.000	0.000	-346.000	8.9874877501e-06	5.3891166640e-04	-3.9882467132e-05
-30.000	0.000	-346.000	6.8485535980e-06	5.4721057840e-04	-3.9983229928e-05
-25.000	0.000	-346.000	9.2000387382e-06	5.5324081922e-04	-3.8226549118e-05
-20.000	0.000	-346.000	1.0355272004e-05	5.5840620339e-04	-3.6478759142e-05
-15.000	0.000	-346.000	1.1389686813e-05	5.6234519855e-04	-3.3919680472e-05
-10.000	0.000	-346.000	7.8673067538e-06	5.6564353167e-04	-3.5332582332e-05
-5.000	0.000	-346.000	9.0844408324e-06	5.6693302179e-04	-3.4121946968e-05
0.000	0.000	-346.000	1.3158707671e-05	5.6751874874e-04	-2.8437739790e-05
5.000	0.000	-346.000	9.5065596368e-06	5.6709411526e-04	-2.9149006591e-05
10.000	0.000	-346.000	1.2898425934e-05	5.6497688680e-04	-2.6073518578e-05
15.000	0.000	-346.000	1.4770366220e-05	5.6191759561e-04	-2.3201778863e-05
20.000	0.000	-346.000	1.3868702552e-05	5.5747824561e-04	-2.2489771158e-05
25.000	0.000	-346.000	1.3178098288e-05	5.5213172409e-04	-2.0513783070e-05
30.000	0.000	-346.000	9.0113531242e-06	5.4636131144e-04	-2.1412498312e-05
35.000	0.000	-346.000	1.2260027176e-05	5.3717452943e-04	-1.7693165650e-05
40.000	0.000	-346.000	8.6034043858e-06	5.2955414014e-04	-1.8343678415e-05
45.000	0.000	-346.000	1.0591688366e-05	5.2019958333e-04	-1.6115783330e-05
50.000	0.000	-346.000	1.3201963662e-05	5.0919326165e-04	-1.3181807757e-05
55.000	0.000	-346.000	1.2606820894e-05	4.9734138480e-04	-1.1419199703e-05
60.000	0.000	-346.000	1.3022973356e-05	4.8595794101e-04	-9.4143163916e-06
65.000	0.000	-346.000	1.5126109454e-05	4.7135040065e-04	-6.2751107001e-06
70.000	0.000	-346.000	1.5818205305e-05	4.5879030632e-04	-4.9199992496e-06
75.000	0.000	-346.000	8.1171473888e-06	4.4513150992e-04	-7.5005641379e-06
80.000	0.000	-346.000	8.1007399441e-06	4.2873783626e-04	-5.8565005474e-06
85.000	0.000	-346.000	8.8979925972e-06	4.1372719085e-04	-3.6508325378e-06
90.000	0.000	-346.000	7.2975209477e-06	3.9826073252e-04	-1.8007979309e-06
95.000	0.000	-346.000	4.9191872643e-06	3.8030808957e-04	-1.4577598759e-06
100.000	0.000	-346.000	7.2632144725e-06	3.6393965614e-04	2.5038480767e-06
105.000	0.000	-346.000	7.3049788771e-06	3.4597216574e-04	2.3823399965e-06
110.000	0.000	-346.000	9.5341539756e-06	3.2972844972e-04	5.7304803304e-06
115.000	0.000	-346.000	6.0483177740e-06	3.1202004502e-04	5.7460392919e-06
120.000	0.000	-346.000	8.7451050445e-06	2.9475854474e-04	8.0702517816e-06
125.000	0.000	-346.000	3.9936582275e-06	2.7710433264e-04	6.4624924245e-06
130.000	0.000	-346.000	8.2223041933e-06	2.5978047347e-04	1.0940509734e-05
-130.000	0.000	-345.000	-9.7393728871e-06	2.6072921756e-04	-5.8335395033e-05
-125.000	0.000	-345.000	-5.9559653358e-06	2.7909164713e-04	-5.7854549046e-05
-120.000	0.000	-345.000	-4.1138567873e-06	2.9836273293e-04	-5.6736526557e-05
-115.000	0.000	-345.000	-6.7815581138e-06	3.1698350582e-04	-5.7972352608e-05
-110.000	0.000	-345.000	-7.5213847040e-06	3.3593537398e-04	-5.9129642950e-05
-105.000	0.000	-345.000	-7.3466899565e-07	3.5365936829e-04	-5.4030749134e-05
-100.000	0.000	-345.000	-2.2687650652e-06	3.7137742360e-04	-5.5769648261e-05
-95.000	0.000	-345.000	3.1076562169e-06	3.8929888720e-04	-5.2303704451e-05
-90.000	0.000	-345.000	-5.3852545336e-07	4.0723445569e-04	-5.4426391287e-05
-85.000	0.000	-345.000	2.5512946852e-06	4.2445438305e-04	-5.1290890173e-05
-80.000	0.000	-345.000	1.8032643688e-06	4.4146496307e-04	-5.2757137032e-05
-75.000	0.000	-345.000	2.1985346257e-06	4.5681412740e-04	-5.2614883673e-05
-70.000	0.000	-345.000	4.1040355824e-06	4.7221599968e-04	-4.9343797324e-05
-65.000	0.000	-345.000	1.5765433158e-06	4.8665873474e-04	-5.1582805920e-05
-60.000	0.000	-345.000	6.9223870991e-06	4.9999682880e-04	-4.5868221766e-05
-55.000	0.000	-345.000	4.3792331767e-06	5.1227779332e-04	-4.7877550463e-05
-50.000	0.000	-345.000	8.5161466118e-06	5.2445779600e-04	-4.4114504573e-05
-45.000	0.000	-345.000	7.1520913245e-06	5.3543516537e-04	-4.3170594262e-05
-40.000	0.000	-345.000	1.0610333189e-05	5.4477413246e-04	-4.1386500047e-05
-35.000	0.000	-345.000	9.4401840650e-06	5.5402550032e-04	-4.0375167570e-05
-30.000	0.000	-345.000	6.6434605397e-06	5.6219449821e-04	-4.0647819842e-05
-25.000	0.000	-345.000	9.0352184983e-06	5.6814827529e-04	-3.8788894430e-05
-20.000	0.000	-345.000	1.0196418107e-05	5.7378283489e-04	-3.6709179949e-05
-15.000	0.000	-345.000	1.1242765604e-05	5.7740335493e-04	-3.4970280806e-05
